"weight","sex","hindfoot_length","species_id"
44,"F",35,"DM"
195,"F",33,"NL"
13,"F",22,"PP"
39,"F",37,"DM"
40,"F",35,"DM"
42,"F",35,"DM"
26,"M",35,"DM"
22,"F",35,"DM"
191,"F",32,"NL"
29,"M",20,"OL"
42,"F",36,"DM"
44,"M",36,"DM"
22,"M",20,"PE"
26,"M",21,"OT"
40,"F",37,"DM"
37,"F",36,"DM"
48,"M",37,"DM"
24,"F",20,"OT"
14,"F",17,"RM"
42,"M",36,"DM"
24,"F",21,"OT"
44,"M",36,"DM"
7,"M",14,"PF"
39,"M",36,"DM"
22,"F",21,"OT"
16,"F",17,"RM"
49,"M",37,"DM"
41,"F",36,"DM"
53,"M",36,"DO"
,,,"AH"
27,"F",21,"OT"
13,"M",17,"RM"
39,"M",36,"DM"
47,"F",37,"DM"
28,"F",20,"OT"
40,"M",36,"DM"
,,,"AB"
43,"F",37,"DM"
40,"F",36,"DM"
8,"M",16,"RM"
56,"M",36,"DO"
42,"F",36,"DO"
11,"M",16,"RM"
160,"F",33,"NL"
11,"M",16,"RM"
14,"F",16,"RM"
7,"F",14,"PF"
21,"M",20,"OT"
13,"F",17,"RM"
44,"M",37,"DM"
10,"F",16,"RM"
19,"M",20,"PE"
48,"F",36,"DO"
34,"M",36,"DM"
25,"F",21,"PE"
15,"F",17,"RM"
53,"M",36,"DO"
22,"M",20,"OT"
104,"F",55,"DS"
9,"M",16,"RM"
20,"F",20,"OT"
46,"F",36,"DM"
,,,"AH"
45,"F",36,"DO"
26,"M",37,"DO"
14,"F",17,"RM"
56,"M",36,"DO"
44,"F",37,"DM"
14,"F",17,"RM"
26,"M",37,"DO"
180,"F",33,"NL"
56,"F",37,"DO"
9,"M",16,"RM"
45,"M",37,"DM"
39,"F",36,"DM"
21,"M",20,"OT"
35,"M",37,"DM"
25,"F",21,"PE"
40,"F",36,"DM"
11,"M",17,"RM"
44,"M",37,"DM"
18,"F",20,"OT"
42,"F",36,"DM"
8,"F",16,"RM"
48,"M",36,"DM"
28,"M",21,"OT"
35,"F",36,"DM"
15,"F",17,"RM"
54,"M",36,"DO"
40,"M",37,"DM"
21,"M",21,"OT"
48,"M",36,"DM"
39,"M",37,"DM"
,,,"DM"
38,"M",36,"DM"
11,"M",17,"RM"
43,"M",37,"DM"
38,"M",37,"DM"
46,"M",37,"DM"
46,"M",36,"DM"
35,"M",36,"DM"
42,"F",37,"DM"
12,"M",17,"RM"
45,"M",37,"DM"
7,"F",14,"PF"
10,"M",17,"RM"
14,"F",17,"RM"
40,"F",37,"DM"
32,"F",22,"OL"
,,,"AH"
48,"M",37,"DM"
38,"F",37,"DM"
45,"M",37,"DM"
8,"M",16,"RM"
20,"M",21,"PE"
24,"M",21,"OT"
45,"F",37,"DM"
40,"F",36,"DM"
7,"M",14,"PF"
9,"M",17,"RM"
27,"F",35,"DM"
10,"F",17,"RM"
42,"F",37,"DM"
38,"M",36,"DM"
54,"M",36,"DM"
40,"F",36,"DM"
42,"F",37,"DM"
42,"F",37,"DM"
46,"F",36,"DO"
47,"F",36,"DO"
23,"M",20,"PE"
8,"F",14,"PF"
8,"M",17,"RM"
8,"M",16,"RM"
11,"M",16,"RM"
50,"M",37,"DM"
47,"M",37,"DM"
,,,"RM"
48,"M",37,"DM"
8,"M",16,"RM"
14,"F",17,"RM"
44,"F",37,"DM"
12,"F",17,"RM"
9,"M",16,"RM"
31,"M",21,"OL"
8,"F",14,"BA"
44,"F",37,"DO"
40,"F",37,"DM"
12,"M",18,"RM"
54,"M",36,"DO"
40,"M",35,"DO"
23,"F",22,"PE"
7,"M",15,"PF"
106,"F",46,"DS"
26,"F",21,"OT"
12,"F",17,"RM"
44,"F",36,"DM"
12,"F",18,"PE"
44,"F",36,"DO"
8,"F",15,"RM"
14,"F",17,"RM"
44,"F",37,"DM"
8,"M",17,"RM"
40,"M",36,"DO"
55,"M",36,"DO"
30,"M",21,"OL"
35,"F",20,"OL"
,"M",,"RM"
41,"F",36,"DM"
39,"F",36,"DO"
193,"F",33,"NL"
8,"M",16,"RM"
44,"F",36,"DM"
52,"F",36,"DO"
40,"M",37,"DM"
7,"M",14,"PF"
45,"M",37,"DM"
22,"M",21,"OT"
14,"F",17,"RM"
164,"M",33,"NL"
21,"M",21,"OT"
40,"F",37,"DM"
18,"M",20,"PE"
20,"F",21,"OT"
30,"M",21,"OL"
35,"M",36,"DM"
44,"M",37,"DM"
34,"M",22,"OL"
13,"M",16,"RM"
40,"F",36,"DM"
44,"M",36,"DM"
9,"M",17,"RM"
8,"F",13,"BA"
10,"M",17,"RM"
40,"M",37,"DM"
27,"F",21,"OT"
51,"M",36,"DM"
43,"M",37,"DM"
55,"M",37,"DO"
7,"F",15,"PF"
15,"F",17,"RM"
20,"M",20,"PE"
30,"M",21,"OL"
44,"M",37,"DM"
16,"F",20,"PE"
44,"M",35,"DM"
,,,"DM"
10,"M",17,"RM"
47,"M",37,"DM"
52,"M",36,"DO"
50,"M",36,"DM"
37,"F",36,"DM"
11,"F",15,"RM"
36,"M",37,"DM"
13,"F",17,"RM"
9,"F",16,"RM"
37,"F",34,"DM"
12,"F",17,"RM"
39,"M",37,"DM"
52,"M",36,"DM"
44,"M",36,"DM"
7,"M",15,"PF"
40,"F",37,"DM"
43,"F",36,"DM"
45,"M",37,"DM"
42,"F",37,"DM"
24,"F",22,"PE"
45,"F",37,"DM"
38,"F",35,"DM"
10,"M",16,"RM"
12,"F",17,"RM"
39,"F",36,"DM"
20,"M",20,"OT"
14,"F",16,"RM"
39,"M",37,"DM"
16,"M",19,"PE"
22,"F",20,"OT"
43,"M",36,"DM"
24,"M",21,"OT"
32,"F",20,"OL"
43,"F",37,"DM"
42,"F",37,"DM"
37,"F",37,"DM"
40,"F",37,"DM"
45,"M",36,"DM"
45,"M",37,"DM"
43,"F",36,"DM"
8,"M",16,"RM"
38,"F",37,"DM"
8,"M",17,"RM"
11,"F",17,"RM"
31,"M",21,"OL"
9,"F",16,"RM"
48,"F",34,"DM"
36,"F",36,"DO"
11,"M",16,"RM"
43,"M",37,"DM"
31,"F",20,"OL"
32,"M",21,"OL"
,,,"AH"
21,"M",21,"PE"
51,"M",37,"DM"
35,"M",21,"OL"
8,"F",15,"PF"
14,"F",16,"RM"
40,"F",36,"DM"
8,"F",16,"RM"
11,"M",15,"RM"
53,"F",37,"DO"
25,"F",21,"OL"
54,"M",35,"DO"
12,"F",17,"RM"
7,"F",14,"RM"
47,"F",36,"DO"
14,"F",15,"RM"
9,"M",17,"RM"
10,"M",17,"RM"
16,"M",20,"PE"
52,"M",36,"DO"
44,"F",37,"DO"
10,"M",17,"RM"
59,"M",36,"DO"
7,"M",15,"PF"
8,"M",16,"RM"
10,"M",17,"RM"
,"M",,"DO"
10,"M",16,"RM"
,,,"AH"
22,"M",20,"OT"
39,"F",35,"DM"
24,"F",21,"OT"
55,"M",36,"DO"
25,"F",20,"OT"
11,"F",16,"RM"
11,"M",17,"RM"
108,"F",54,"DS"
10,"M",16,"RM"
8,"M",16,"RM"
11,"F",17,"RM"
9,"F",15,"RM"
188,"F",34,"NL"
11,"M",16,"RM"
24,"F",21,"OT"
15,"F",16,"RM"
25,"M",21,"OT"
45,"F",31,"DO"
20,"M",21,"OT"
46,"F",36,"DO"
25,"F",16,"PE"
162,"M",31,"NL"
9,"M",12,"RM"
7,"M",15,"PF"
9,"F",14,"BA"
7,"M",15,"PF"
10,"F",16,"RM"
46,"M",36,"DM"
17,"M",20,"PE"
41,"F",35,"DM"
11,"M",17,"RM"
32,"M",24,"OL"
13,"F",17,"RM"
38,"F",36,"DM"
40,"F",36,"DM"
47,"M",37,"DM"
43,"M",36,"DM"
10,"F",15,"RM"
42,"M",37,"DM"
46,"F",35,"DM"
45,"M",37,"DM"
36,"F",37,"DM"
10,"M",16,"RM"
43,"M",37,"DM"
9,"M",16,"RM"
55,"M",37,"DO"
10,"M",11,"RM"
42,"M",37,"DM"
49,"M",37,"DM"
25,"F",20,"OT"
37,"F",36,"DM"
37,"M",36,"DM"
10,"M",16,"RM"
8,"F",16,"RM"
10,"M",16,"RM"
40,"M",36,"DM"
42,"F",36,"DM"
51,"M",36,"DM"
9,"M",17,"RM"
25,"F",35,"DM"
15,"F",21,"PP"
41,"F",37,"DM"
47,"M",37,"DM"
40,"M",35,"DM"
,,,"OT"
11,"F",15,"RM"
41,"F",36,"DM"
48,"M",36,"DM"
39,"M",36,"DM"
38,"M",35,"DM"
,,,"RM"
46,"M",34,"DM"
42,"F",36,"DM"
49,"M",37,"DM"
24,"M",19,"PE"
42,"F",36,"DM"
55,"M",37,"DO"
22,"M",19,"OT"
37,"M",35,"DM"
8,"F",16,"RM"
17,"M",20,"PE"
11,"F",17,"RM"
37,"F",37,"DM"
13,"M",17,"RM"
41,"F",37,"DM"
43,"M",36,"DM"
41,"M",35,"DM"
11,"M",16,"RM"
59,"F",35,"DO"
36,"M",35,"DM"
30,"M",20,"OL"
,,,"SS"
44,"M",36,"DM"
9,"M",17,"RM"
11,"F",16,"RM"
18,"F",14,"BA"
12,"F",17,"RM"
45,"M",36,"DM"
9,"M",15,"RM"
53,"M",36,"DO"
51,"F",36,"DO"
27,"F",21,"OL"
10,"M",16,"RM"
8,"M",15,"PF"
53,"M",36,"DO"
40,"F",36,"DM"
9,"M",16,"RM"
49,"M",37,"DM"
23,"F",21,"OT"
11,"M",18,"RM"
41,"M",35,"DO"
11,"M",16,"RM"
9,"M",16,"RM"
12,"F",16,"RM"
39,"F",35,"DM"
27,"M",21,"OT"
48,"F",37,"DM"
112,"F",47,"DS"
190,"F",33,"NL"
24,"F",21,"OT"
9,"M",17,"RM"
171,"M",33,"NL"
,,,"PF"
54,"M",37,"DO"
58,"F",36,"DO"
11,"F",16,"RM"
11,"F",16,"RM"
47,"F",36,"DO"
9,"M",16,"RM"
11,"F",17,"RM"
12,"F",16,"RM"
10,"M",17,"RM"
22,"M",19,"PE"
52,"F",37,"DO"
10,"M",17,"RM"
34,"M",20,"OL"
185,"F",33,"NL"
23,"F",21,"OT"
10,"M",16,"RM"
24,"M",21,"OT"
12,"F",16,"RM"
11,"F",16,"RM"
46,"M",37,"DM"
,,,"SF"
7,"M",15,"PF"
11,"F",17,"RM"
50,"F",36,"DO"
24,"M",20,"OT"
,,,"AH"
,,,"RM"
,,,"AB"
27,"F",20,"PE"
48,"F",37,"DO"
9,"M",16,"RM"
55,"M",37,"DO"
7,"F",16,"RM"
10,"M",17,"RM"
12,"F",17,"RM"
45,"M",37,"DM"
,"M",38,"DO"
39,"F",36,"DO"
10,"M",17,"RM"
10,"M",16,"RM"
28,"F",20,"OT"
39,"M",36,"DM"
12,"M",16,"RM"
30,"M",20,"OL"
10,"M",16,"RM"
44,"M",35,"DM"
44,"M",37,"DM"
39,"F",37,"DM"
10,"F",17,"RM"
12,"F",16,"RM"
46,"M",38,"DM"
44,"M",36,"DM"
35,"F",36,"DM"
52,"M",37,"DM"
52,"M",36,"DO"
44,"M",37,"DM"
45,"M",38,"DM"
11,"F",16,"RM"
9,"M",16,"RM"
10,"M",17,"RM"
13,"F",16,"RM"
40,"M",36,"DM"
48,"F",37,"DM"
48,"M",36,"DM"
11,"M",16,"RM"
47,"M",37,"DM"
49,"M",37,"DM"
10,"M",16,"RM"
50,"M",38,"DM"
43,"M",36,"DM"
40,"F",37,"DM"
46,"M",37,"DM"
50,"M",36,"DM"
40,"F",38,"DM"
45,"M",36,"DM"
13,"F",16,"RM"
50,"F",37,"DM"
46,"M",36,"DM"
43,"F",36,"DM"
24,"F",20,"OT"
47,"M",38,"DM"
47,"F",36,"DM"
49,"F",36,"DM"
10,"M",16,"RM"
9,"M",13,"RM"
31,"F",21,"OL"
49,"M",37,"DM"
47,"F",36,"DM"
32,"M",35,"DM"
43,"M",36,"DM"
45,"M",35,"DM"
46,"F",36,"DM"
11,"F",17,"RM"
40,"M",37,"DM"
8,"M",16,"RM"
10,"M",17,"RM"
59,"F",36,"DO"
9,"M",17,"RM"
11,"M",17,"RM"
8,"F",17,"RM"
27,"M",19,"OT"
46,"F",36,"DO"
47,"M",37,"DM"
7,"M",14,"PF"
13,"F",17,"RM"
45,"F",37,"DM"
46,"M",36,"DM"
192,"F",33,"NL"
46,"M",35,"DO"
47,"F",35,"DO"
10,"M",17,"RM"
,,,"AH"
10,"M",16,"RM"
,"M",36,"DO"
12,"F",15,"RM"
10,"M",16,"RM"
8,"M",16,"RM"
29,"M",20,"OT"
42,"F",36,"DM"
47,"F",36,"DO"
12,"M",17,"RM"
128,"F",54,"DS"
49,"M",37,"DM"
12,"F",17,"RM"
64,"M",28,"SF"
10,"M",16,"RM"
49,"F",36,"DO"
41,"F",37,"DM"
47,"F",37,"DM"
27,"M",34,"DO"
9,"M",16,"RM"
14,"F",17,"RM"
,,,"RM"
32,"F",21,"OL"
49,"F",35,"DO"
174,"F",33,"NL"
47,"M",36,"DM"
9,"M",14,"PF"
57,"M",35,"DO"
25,"F",21,"PE"
10,"M",15,"RM"
50,"M",38,"DM"
,,,"RM"
,,,"AB"
12,"M",17,"RM"
10,"F",17,"RM"
45,"M",37,"DM"
14,"F",16,"RM"
,,,"AB"
,,,"PC"
28,"M",21,"OT"
14,"M",17,"RM"
44,"F",33,"DO"
10,"M",17,"RM"
57,"M",36,"DO"
10,"F",16,"RM"
10,"F",17,"RM"
49,"F",33,"DM"
8,"F",14,"BA"
46,"F",37,"DM"
39,"F",33,"DM"
10,"M",17,"RM"
12,"F",17,"RM"
10,"M",17,"RM"
41,"M",36,"DM"
8,"M",15,"RM"
51,"M",38,"DM"
47,"M",37,"DM"
17,"F",16,"RM"
22,"F",35,"DM"
,,,"RM"
47,"M",37,"DM"
,,,"DM"
18,"M",20,"PE"
50,"F",36,"DM"
46,"F",37,"DM"
40,"F",35,"DM"
24,"M",36,"DM"
40,"M",35,"DM"
47,"M",38,"DM"
47,"M",35,"DM"
45,"M",36,"DM"
46,"M",36,"DM"
43,"F",34,"DM"
,,,"DM"
10,"M",17,"RM"
10,"F",15,"RM"
45,"M",36,"DM"
8,"F",15,"RM"
42,"M",32,"DM"
45,"M",36,"DM"
28,"M",20,"OT"
45,"F",36,"DM"
13,"F",18,"RM"
56,"M",34,"DM"
9,"F",11,"RM"
48,"M",37,"DM"
,,,"DM"
,,,"DM"
52,"M",37,"DM"
10,"M",17,"RM"
44,"M",34,"DM"
41,"F",32,"DM"
55,"M",35,"DO"
,"F",,"PE"
36,"F",20,"OL"
16,"F",17,"RM"
39,"M",36,"DM"
44,"F",37,"DM"
51,"M",37,"DM"
11,"M",17,"RM"
10,"F",10,"RM"
21,"M",19,"OT"
40,"M",21,"OL"
13,"M",,"RM"
19,"F",22,"PP"
146,"M",34,"NL"
47,"F",37,"DO"
51,"F",36,"DM"
,,,"RM"
76,"F",31,"NL"
11,"M",15,"RM"
125,,,"DS"
12,"F",12,"BA"
12,"M",16,"RM"
69,"F",30,"NL"
12,"F",16,"RM"
38,"F",34,"DO"
148,"F",32,"NL"
,,,"SA"
168,"M",34,"NL"
46,"M",35,"DM"
7,"M",,"RM"
59,"M",,"DO"
16,"F",,"PP"
,"M",15,"RM"
63,"F",,"DO"
15,"F",,"RM"
10,"F",16,"RM"
10,"M",16,"PF"
13,"F",,"RM"
55,"F",,"DM"
12,"M",16,"RM"
7,"M",,"RM"
,"F",19,"OT"
51,"M",36,"DM"
56,"M",36,"DM"
13,"M",,"RM"
,,,
41,"M",36,"DM"
23,"M",23,"PP"
46,"F",,"DM"
8,"M",16,"RM"
10,"F",13,"BA"
26,"F",19,"OL"
34,"F",21,"PE"
49,"M",,"DM"
13,"M",17,"RM"
14,"F",17,"RM"
,,,"UR"
45,"M",36,"DM"
43,"M",35,"DM"
49,"M",36,"DM"
36,"M",36,"DM"
51,"M",36,"DM"
46,"F",36,"DM"
49,"M",35,"DM"
,,,"AH"
55,"F",36,"DO"
50,"M",37,"DM"
24,"F",,"DM"
56,"M",37,"DO"
17,"M",19,"OL"
54,"M",36,"DM"
44,"F",36,"DM"
21,"M",34,"DM"
50,"F",,"DM"
55,"M",37,"DO"
45,"M",38,"DM"
26,"F",21,"OL"
39,"M",35,"DO"
51,"M",36,"DM"
,"F",34,"DO"
46,"M",36,"DM"
55,"M",35,"DO"
,,,"DX"
53,"F",35,"DO"
12,"M",16,"RM"
126,"F",33,"NL"
24,"M",33,"DM"
49,"F",35,"DM"
20,"M",20,"PE"
51,"M",38,"DM"
45,,36,"DM"
23,"F",33,"DM"
15,"M",20,"PP"
43,"F",36,"DM"
,"F",36,"DM"
42,"F",33,"DM"
,,,"OT"
14,"M",17,"RM"
34,"F",16,"OT"
12,"F",17,"RM"
54,"F",37,"DM"
,"M",35,"DM"
14,"F",16,"RM"
40,"M",36,"DO"
15,"M",20,"PE"
53,"M",36,"DO"
110,"F",49,"DS"
50,"M",37,"DM"
15,"F",41,"PP"
51,"F",36,"DO"
,,,"DX"
28,"F",20,"OT"
7,"F",12,"BA"
42,"F",35,"DM"
12,"M",14,"RM"
40,"F",34,"DO"
15,"F",16,"RM"
,,,"DX"
44,"M",35,"DO"
195,"M",30,"NL"
53,"F",34,"DO"
8,"M",14,"PF"
55,"M",37,"DO"
46,"F",35,"DO"
81,"F",31,"NL"
23,"F",19,"PE"
185,"F",33,"NL"
12,"F",17,"RM"
17,"F",20,"OT"
54,"F",36,"DO"
,,,
24,"M",20,"PP"
52,"F",35,"DM"
8,"F",11,"BA"
19,"F",22,"PP"
,,,"AB"
16,"M",22,"PP"
45,"M",37,"DM"
29,"F",20,"OL"
44,"M",38,"DM"
22,"M",35,"DM"
41,"M",35,"DM"
49,"M",36,"DM"
49,"M",35,"DM"
10,"M",16,"RM"
16,"M",20,"PP"
11,"F",18,"OT"
13,"F",16,"RM"
11,"M",19,"OT"
51,"F",35,"DM"
47,"M",36,"DM"
13,"M",16,"RM"
49,"M",36,"DM"
11,"F",16,"RM"
31,"M",35,"DM"
43,"F",36,"DM"
37,"F",19,"OL"
44,"M",35,"DM"
41,"M",36,"DM"
,,,"AH"
46,"F",36,"DM"
46,"F",36,"DM"
36,"F",20,"PE"
56,"M",36,"DO"
49,"F",36,"DM"
11,"F",19,"OT"
13,"M",16,"RM"
9,"F",16,"PF"
16,"F",20,"PP"
16,"F",20,"PP"
36,"M",31,"DM"
28,"F",21,"PP"
29,"F",34,"DM"
41,"M",33,"DM"
54,"F",36,"DM"
50,"M",38,"DM"
23,"F",23,"PP"
46,"F",34,"DM"
,,,"AB"
28,"F",15,"OT"
30,"F",15,"OL"
16,"M",16,"PE"
11,"F",16,"RM"
,"F",,"PE"
44,"M",28,"DO"
,,,"AH"
10,"M",16,"RM"
51,"M",30,"DM"
,"M",,"DO"
44,"F",35,"DM"
18,"M",19,"OL"
,,,"AH"
18,"F",16,"PP"
,,,"DO"
7,"M",15,"PF"
8,"M",15,"RM"
13,"M",,"RM"
,,,"AH"
24,"M",28,"DM"
11,"F",16,"RM"
15,"F",16,"RM"
37,"F",19,"OL"
26,"F",21,"PE"
24,"M",34,"DM"
174,"M",30,"NL"
,"F",,"DS"
,"M",,"OL"
,,,"AH"
25,"M",28,"DM"
12,"M",16,"RM"
45,"F",26,"DO"
21,"F",17,"PE"
45,"M",29,"DO"
,,,"RM"
9,"F",12,"BA"
11,"F",15,"RM"
44,"F",27,"DO"
56,"M",36,"DO"
,,,
,,,"DO"
30,"M",21,"OT"
25,"M",34,"DM"
46,"M",37,"DM"
39,"M",37,"DM"
9,"F",12,"BA"
16,"F",20,"PP"
126,"M",30,"NL"
46,"F",35,"DM"
8,"M",16,"RM"
,,,"PP"
32,"M",19,"OL"
,"F",36,"DM"
44,"M",36,"DM"
33,"M",35,"DM"
43,"F",35,"DO"
44,"F",36,"DM"
42,"M",35,"DM"
50,"M",36,"DM"
24,"F",20,"OL"
40,"F",33,"DM"
30,"M",25,"DM"
32,"F",19,"PE"
,"M",,"DM"
29,"M",35,"DM"
,"F",35,"DM"
48,"M",36,"DM"
49,"F",35,"DM"
43,"F",36,"DM"
12,"M",20,"OL"
55,"M",36,"DM"
36,"M",34,"DM"
38,"M",32,"DM"
40,"F",35,"DM"
47,"F",35,"DM"
45,"M",35,"DM"
45,"F",35,"DM"
51,"F",32,"DM"
,,,
,,,
,,,
,,,
12,"M",22,"PP"
65,"M",37,"DO"
12,"F",17,"RM"
,"F",,"OT"
113,"M",42,"NL"
26,"F",20,"PE"
45,"F",36,"DM"
16,"F",22,"PP"
99,"M",32,"NL"
10,"F",16,"RM"
51,"M",35,"DM"
24,"F",21,"PP"
32,"M",35,"DM"
11,"F",14,"BA"
13,"F",14,"RM"
16,"M",20,"PP"
17,"M",23,"PP"
14,"M",21,"PP"
34,"F",35,"DM"
100,"M",26,"SF"
113,"F",49,"DS"
9,"M",14,"PF"
46,"M",35,"DO"
45,"F",36,"DO"
21,"F",21,"OT"
13,"M",16,"RM"
16,"M",21,"PP"
48,"M",36,"DO"
19,"M",21,"PE"
12,"M",18,"RM"
10,"M",15,"RM"
154,"M",33,"NL"
55,"M",36,"DO"
15,"F",23,"PP"
53,"F",37,"DO"
46,"M",37,"DM"
,,,"SA"
160,"F",22,"NL"
37,"F",37,"DO"
,,,
13,"F",14,"BA"
35,"M",35,"DM"
16,"F",16,"OT"
32,"M",35,"DM"
13,"F",20,"PP"
41,"M",39,"DM"
26,"F",19,"OT"
19,"F",20,"PP"
8,"M",15,"RM"
7,"M",15,"RM"
17,"F",22,"PP"
9,"M",18,"RM"
31,"M",34,"DM"
,,,"RM"
26,"M",35,"DM"
27,"F",30,"DM"
11,"F",14,"RO"
11,"M",22,"RM"
24,"M",16,"OT"
16,"F",22,"PP"
42,"M",35,"DM"
71,"M",32,"NL"
41,"M",36,"DM"
17,"F",20,"PE"
12,"M",17,"RM"
29,"F",36,"DM"
18,"M",21,"PE"
6,"F",15,"PF"
11,"F",16,"RM"
,,,"AH"
5,"F",21,"PP"
54,"M",37,"DM"
43,"M",34,"DM"
39,"M",35,"DM"
50,"M",35,"DM"
47,"M",37,"DM"
15,"F",18,"PP"
42,"M",35,"DM"
48,"F",36,"DM"
19,"F",20,"PP"
16,"F",21,"PP"
14,"F",21,"PP"
58,"M",37,"DM"
52,"F",36,"SF"
19,"M",,"PP"
35,"M",35,"DM"
19,"F",19,"PP"
21,"M",27,"OT"
44,"M",37,"DM"
34,"F",36,"DM"
38,"M",35,"DM"
39,"F",36,"DM"
49,"F",35,"DM"
43,"M",33,"DM"
31,"F",23,"OT"
,,,"AH"
20,"M",21,"OT"
7,"M",16,"PF"
12,"F",18,"RM"
,,,"PC"
28,"M",22,"OT"
,,,"PP"
14,"F",17,"PE"
10,"F",16,"PF"
18,"F",23,"PP"
14,"F",22,"PP"
8,"F",16,"PF"
24,"M",22,"PP"
110,"F",46,"DS"
52,"M",37,"DO"
46,"F",19,"OT"
18,"M",22,"PP"
199,"F",30,"SF"
13,"F",16,"RM"
,,,"AH"
57,"M",38,"DO"
124,"F",32,"NL"
,,,"AS"
,,,"AH"
9,"M",14,"PF"
10,"F",14,"BA"
46,"M",36,"DO"
37,"M",36,"DM"
38,"M",38,"DM"
11,"M",12,"PE"
51,"M",37,"DO"
22,"M",20,"PE"
84,"F",29,"SF"
49,"F",37,"DO"
29,"M",20,"OT"
65,"F",37,"DM"
44,"F",35,"DO"
16,"M",21,"PP"
178,"M",32,"NL"
47,"M",37,"DM"
15,"F",18,"PP"
58,"M",36,"DO"
26,"M",16,"PE"
36,"F",36,"DM"
18,"M",20,"PE"
,,,"DM"
33,"F",36,"DM"
17,"F",21,"PP"
54,"F",38,"DM"
,,,"CB"
16,"F",24,"PP"
12,"M",13,"RM"
,,,"PC"
9,"F",11,"PP"
,,,"AH"
14,"F",22,"PP"
45,"M",37,"DM"
37,"M",37,"DM"
24,"F",22,"OT"
,,,"PP"
29,"F",36,"DM"
11,"F",13,"RM"
39,"M",38,"DM"
22,"F",35,"DM"
20,"F",21,"PP"
,,,"NL"
45,"F",35,"DM"
30,"F",17,"OT"
48,"M",38,"DM"
,"M",39,"DM"
9,"F",16,"RM"
25,"M",20,"OT"
36,"M",36,"DM"
26,"M",22,"OT"
15,"F",22,"PP"
26,"F",36,"DM"
16,"F",16,"PP"
38,"M",35,"DM"
,,,"PC"
43,"M",35,"DM"
42,"F",37,"DM"
45,"M",38,"DM"
24,"M",16,"OT"
26,"F",13,"OT"
16,"F",23,"PP"
22,"M",20,"OT"
49,"M",37,"DM"
40,"M",37,"DM"
,,,"CB"
40,"M",38,"DM"
53,"F",37,"DM"
10,"F",21,"PP"
45,"F",20,"OT"
21,"F",21,"OT"
40,"F",38,"DM"
5,"F",16,"RM"
,,,"PF"
41,"F",37,"DM"
39,"M",36,"DM"
18,"F",22,"PP"
18,"M",23,"PP"
53,"M",37,"DM"
10,"F",16,"RM"
48,"F",37,"DO"
21,"F",20,"OT"
11,"F",7,"BA"
29,"F",19,"OT"
22,"M",22,"OT"
53,"M",37,"DO"
24,"F",22,"OT"
23,"M",20,"PE"
22,"F",14,"PP"
42,"M",34,"DM"
12,"M",11,"PE"
52,"F",35,"DO"
41,"M",37,"DM"
11,"F",16,"PE"
16,"F",21,"PP"
27,"M",21,"OT"
48,"M",35,"DO"
57,"M",37,"DO"
108,"F",50,"DS"
180,"M",31,"NL"
36,"F",36,"DM"
54,"M",36,"DO"
,,,"PF"
6,"F",16,"PF"
46,"F",34,"DO"
15,"F",23,"PP"
7,"M",16,"PF"
18,"F",20,"OT"
16,"M",22,"PE"
29,"M",21,"OT"
,,,
37,"F",37,"DM"
12,"M",17,"RM"
48,"M",37,"DM"
20,"M",20,"OT"
34,"F",31,"DM"
63,"F",28,"SH"
19,"F",24,"PP"
17,"M",22,"PP"
14,"M",21,"PP"
8,"F",14,"PF"
25,"M",22,"OT"
,,,"AH"
42,"M",37,"DM"
14,"F",22,"PP"
45,"M",36,"DM"
27,"F",20,"OT"
41,"M",36,"DM"
42,"F",38,"DO"
50,"F",37,"DM"
41,"M",36,"DM"
47,"F",36,"DM"
37,"F",21,"OT"
51,"M",38,"DM"
42,"M",37,"DM"
36,"F",36,"DM"
55,"M",36,"DM"
,"M",,"DM"
23,"M",21,"PE"
44,"F",36,"DM"
,"M",37,"DM"
,,,
44,"F",38,"DM"
28,"F",25,"PP"
55,"F",37,"DM"
19,"M",22,"PE"
43,"M",37,"DM"
26,"F",21,"OT"
16,"F",21,"PP"
43,"F",37,"DM"
17,"F",21,"PP"
44,"M",37,"DM"
14,"M",18,"RM"
19,"F",19,"PE"
9,"F",15,"PF"
26,"M",22,"PP"
51,"M",36,"DM"
48,"M",36,"DM"
7,"F",16,"PF"
45,"M",37,"DM"
15,"F",22,"PP"
8,"F",,"PF"
,,,
,,,"AB"
20,"M",19,"OT"
7,"M",21,"PF"
41,"F",36,"DM"
24,"M",22,"PE"
9,"F",16,"RM"
16,"F",21,"PP"
9,"F",18,"PF"
8,"F",16,"PF"
53,"M",37,"DM"
23,"M",20,"PE"
50,"F",34,"DO"
30,"F",25,"PP"
6,"F",13,"BA"
20,"F",20,"PE"
42,"F",33,"DM"
46,"M",36,"DM"
6,"F",14,"PF"
106,"F",47,"DS"
7,"F",15,"PF"
37,"F",36,"DM"
40,"M",35,"DM"
13,"F",16,"RM"
7,"F",14,"PF"
7,"M",17,"RM"
6,"M",13,"BA"
53,"M",36,"DO"
52,"M",34,"DM"
24,"M",20,"OT"
80,"F",30,"SO"
14,"F",20,"PP"
25,"M",21,"OT"
50,"F",36,"DO"
55,"F",36,"DO"
53,"F",36,"DO"
12,"F",21,"PP"
48,"F",34,"DO"
43,"F",36,"DM"
17,"F",20,"PE"
26,"F",16,"PP"
21,"F",21,"OT"
8,"F",14,"PF"
59,"M",36,"DO"
